,Date,ES,CL
0,6/19/2002,1019.5,25.31
1,6/20/2002,1007,25.53
2,6/21/2002,991.5,25.82
3,6/24/2002,997,26.47
4,6/25/2002,974.5,26.32
5,6/26/2002,974.75,26.76
6,6/27/2002,992,26.86
7,6/28/2002,990,26.86
8,7/1/2002,969.5,26.81
9,7/2/2002,947.5,26.77
10,7/3/2002,953.25,26.8
11,7/8/2002,978.25,26.07
12,7/9/2002,954,26.09
13,7/10/2002,919,26.77
14,7/11/2002,927,26.83
15,7/12/2002,917.25,27.48
16,7/15/2002,920.5,27.07
17,7/16/2002,903.25,27.75
18,7/17/2002,905,27.88
19,7/18/2002,875.5,27.57
20,7/19/2002,844,27.83
21,7/22/2002,819.75,26.6
22,7/23/2002,796.75,26.31
23,7/24/2002,844,26.87
24,7/25/2002,836.75,26.77
25,7/26/2002,853.75,26.54
26,7/29/2002,893.75,26.55
27,7/30/2002,905.5,27.36
28,7/31/2002,911.5,27.02
29,8/1/2002,884,26.47
30,8/2/2002,865,26.84
31,8/5/2002,834,26.58
32,8/6/2002,861,27.17
33,8/7/2002,876,26.5
34,8/8/2002,905.75,26.67
35,8/9/2002,907.75,26.86
36,8/12/2002,902.5,27.86
37,8/13/2002,885.25,27.9
38,8/14/2002,918,28.15
39,8/15/2002,930.5,29.06
40,8/16/2002,928,29.33
41,8/19/2002,949,29.84
42,8/20/2002,939.75,30.11
43,8/21/2002,952.25,29.24
44,8/22/2002,961,28.84
45,8/23/2002,941,28.63
46,8/26/2002,947.5,29.28
47,8/27/2002,936.5,28.83
48,8/28/2002,916.5,28.34
49,8/29/2002,916,28.92
50,8/30/2002,916,28.98
51,9/3/2002,877.75,27.79
52,9/4/2002,889.75,28.27
53,9/5/2002,883.25,28.98
54,9/6/2002,894.5,29.61
55,9/9/2002,900.5,29.73
56,9/10/2002,911,29.73
57,9/11/2002,906,29.77
58,9/12/2002,889.25,28.85
59,9/13/2002,891,29.81
60,9/16/2002,893,29.67
61,9/17/2002,872.5,29.08
62,9/18/2002,863.75,29.48
